run_id,chan_id,num_train_values,num_test_values,n_predicted_anoms,normalized_pred_error,anom_scores,false_positives,false_negatives,true_positives,fp_sequences,tp_sequences,num_true_anoms,scores,spacecraft,anomaly_sequences,class
2022-11-19_11.24.38,P-1,2612,8245,4,0.08504268371593492,"[{'start_idx': 1880, 'end_idx': 2099, 'score': 2.028471337604992}, {'start_idx': 2940, 'end_idx': 3009, 'score': 2.137289904903029}, {'start_idx': 3010, 'end_idx': 3079, 'score': 2.1635566468206386}, {'start_idx': 3290, 'end_idx': 3359, 'score': 2.1331477202236866}, {'start_idx': 3360, 'end_idx': 3429, 'score': 2.293622909983353}, {'start_idx': 4270, 'end_idx': 4339, 'score': 0.91750929710234}]",1,0,3,"[[3190, 3329]]","[(2130, 2349), (3540, 3679), (4520, 4589)]",3,"[{'start_idx': 1880, 'end_idx': 2099, 'score': 2.028471337604992}, {'start_idx': 2940, 'end_idx': 3009, 'score': 2.137289904903029}, {'start_idx': 3010, 'end_idx': 3079, 'score': 2.1635566468206386}, {'start_idx': 3290, 'end_idx': 3359, 'score': 2.1331477202236866}, {'start_idx': 3360, 'end_idx': 3429, 'score': 2.293622909983353}, {'start_idx': 4270, 'end_idx': 4339, 'score': 0.91750929710234}]",SMAP,"[[2149, 2349], [4536, 4844], [3539, 3779]]","[contextual, contextual, contextual]"
2022-11-19_11.24.38,S-1,2558,7071,1,0.19105796495991326,"[{'start_idx': 5040, 'end_idx': 5109, 'score': 2.2699758268780545}, {'start_idx': 5110, 'end_idx': 5179, 'score': 7.345765352624646}, {'start_idx': 5180, 'end_idx': 5249, 'score': 8.138666875983581}, {'start_idx': 5250, 'end_idx': 5319, 'score': 7.938538129229171}, {'start_idx': 5320, 'end_idx': 5389, 'score': 7.0381884992924}, {'start_idx': 5390, 'end_idx': 5406, 'score': 6.185723202648849}]",0,0,1,[],"[(5290, 5656)]",1,"[{'start_idx': 5040, 'end_idx': 5109, 'score': 2.2699758268780545}, {'start_idx': 5110, 'end_idx': 5179, 'score': 7.345765352624646}, {'start_idx': 5180, 'end_idx': 5249, 'score': 8.138666875983581}, {'start_idx': 5250, 'end_idx': 5319, 'score': 7.938538129229171}, {'start_idx': 5320, 'end_idx': 5389, 'score': 7.0381884992924}, {'start_idx': 5390, 'end_idx': 5406, 'score': 6.185723202648849}]",SMAP,"[[5300, 5747]]",[point]
2022-11-19_11.24.38,E-1,2620,8256,3,0.06767098444004999,"[{'start_idx': 1501, 'end_idx': 1751, 'score': 3.370113917875019}, {'start_idx': 4760, 'end_idx': 4829, 'score': 8.024257004252485}, {'start_idx': 4830, 'end_idx': 4899, 'score': 6.015687592423581}, {'start_idx': 5320, 'end_idx': 5389, 'score': 7.506587461699478}, {'start_idx': 5390, 'end_idx': 5459, 'score': 9.328760409801296}, {'start_idx': 5460, 'end_idx': 5529, 'score': 9.20637890681809}, {'start_idx': 5530, 'end_idx': 5599, 'score': 8.941183072447766}, {'start_idx': 5600, 'end_idx': 5669, 'score': 8.581766015679447}, {'start_idx': 5670, 'end_idx': 5715, 'score': 7.094974552842313}]",1,0,2,"[[1751, 2001]]","[(5010, 5149), (5570, 5965)]",2,"[{'start_idx': 1501, 'end_idx': 1751, 'score': 3.370113917875019}, {'start_idx': 4760, 'end_idx': 4829, 'score': 8.024257004252485}, {'start_idx': 4830, 'end_idx': 4899, 'score': 6.015687592423581}, {'start_idx': 5320, 'end_idx': 5389, 'score': 7.506587461699478}, {'start_idx': 5390, 'end_idx': 5459, 'score': 9.328760409801296}, {'start_idx': 5460, 'end_idx': 5529, 'score': 9.20637890681809}, {'start_idx': 5530, 'end_idx': 5599, 'score': 8.941183072447766}, {'start_idx': 5600, 'end_idx': 5669, 'score': 8.581766015679447}, {'start_idx': 5670, 'end_idx': 5715, 'score': 7.094974552842313}]",SMAP,"[[5000, 5030], [5610, 6086]]","[contextual, contextual]"
2022-11-19_11.24.38,E-2,2620,8272,1,0.06881594008845224,"[{'start_idx': 5320, 'end_idx': 5389, 'score': 3.094183743145289}, {'start_idx': 5390, 'end_idx': 5459, 'score': 4.939148790198749}, {'start_idx': 5460, 'end_idx': 5529, 'score': 6.560282346982264}, {'start_idx': 5530, 'end_idx': 5599, 'score': 6.824719705214415}, {'start_idx': 5600, 'end_idx': 5669, 'score': 6.402748880192538}]",0,0,1,[],"[(5570, 5919)]",1,"[{'start_idx': 5320, 'end_idx': 5389, 'score': 3.094183743145289}, {'start_idx': 5390, 'end_idx': 5459, 'score': 4.939148790198749}, {'start_idx': 5460, 'end_idx': 5529, 'score': 6.560282346982264}, {'start_idx': 5530, 'end_idx': 5599, 'score': 6.824719705214415}, {'start_idx': 5600, 'end_idx': 5669, 'score': 6.402748880192538}]",SMAP,"[[5598, 6995]]",[point]
2022-11-19_11.24.38,E-3,2620,8047,1,0.01772920528323179,"[{'start_idx': 5320, 'end_idx': 5389, 'score': 4.101989404515046}, {'start_idx': 5390, 'end_idx': 5459, 'score': 4.480692029212488}, {'start_idx': 5460, 'end_idx': 5529, 'score': 3.323905675222314}]",0,0,1,[],"[(5570, 5779)]",1,"[{'start_idx': 5320, 'end_idx': 5389, 'score': 4.101989404515046}, {'start_idx': 5390, 'end_idx': 5459, 'score': 4.480692029212488}, {'start_idx': 5460, 'end_idx': 5529, 'score': 3.323905675222314}]",SMAP,"[[5094, 8306]]",[point]
2022-11-19_11.24.38,E-4,2620,8094,1,0.05509622654411775,"[{'start_idx': 5320, 'end_idx': 5389, 'score': 2.032620709522598}, {'start_idx': 5390, 'end_idx': 5459, 'score': 0.8852654193872056}, {'start_idx': 5460, 'end_idx': 5529, 'score': 1.0486795542501293}, {'start_idx': 5530, 'end_idx': 5599, 'score': 1.0559542958489982}, {'start_idx': 5600, 'end_idx': 5669, 'score': 1.0728753593637312}, {'start_idx': 5670, 'end_idx': 5725, 'score': 0.8690498642340692}]",0,0,1,[],"[(5570, 5975)]",1,"[{'start_idx': 5320, 'end_idx': 5389, 'score': 2.032620709522598}, {'start_idx': 5390, 'end_idx': 5459, 'score': 0.8852654193872056}, {'start_idx': 5460, 'end_idx': 5529, 'score': 1.0486795542501293}, {'start_idx': 5530, 'end_idx': 5599, 'score': 1.0559542958489982}, {'start_idx': 5600, 'end_idx': 5669, 'score': 1.0728753593637312}, {'start_idx': 5670, 'end_idx': 5725, 'score': 0.8690498642340692}]",SMAP,"[[5450, 8261]]",[point]
2022-11-19_11.24.38,E-5,2620,8034,1,0.08285122014162981,"[{'start_idx': 5320, 'end_idx': 5389, 'score': 4.205688004343075}, {'start_idx': 5390, 'end_idx': 5459, 'score': 4.089169974652902}]",0,0,1,[],"[(5570, 5709)]",1,"[{'start_idx': 5320, 'end_idx': 5389, 'score': 4.205688004343075}, {'start_idx': 5390, 'end_idx': 5459, 'score': 4.089169974652902}]",SMAP,"[[5600, 5920]]",[point]
2022-11-19_11.24.38,E-6,2620,8040,1,0.00847063617059805,"[{'start_idx': 5320, 'end_idx': 5389, 'score': 15.60290180180509}, {'start_idx': 5390, 'end_idx': 5459, 'score': 12.968206493639974}, {'start_idx': 5460, 'end_idx': 5529, 'score': 9.17649022847353}]",0,0,1,[],"[(5570, 5779)]",1,"[{'start_idx': 5320, 'end_idx': 5389, 'score': 15.60290180180509}, {'start_idx': 5390, 'end_idx': 5459, 'score': 12.968206493639974}, {'start_idx': 5460, 'end_idx': 5529, 'score': 9.17649022847353}]",SMAP,"[[5610, 5675]]",[point]
2022-11-19_11.24.38,E-7,2509,8050,1,0.025006510326177022,"[{'start_idx': 5180, 'end_idx': 5249, 'score': 9.123005724714089}, {'start_idx': 5250, 'end_idx': 5319, 'score': 8.1179965268638}, {'start_idx': 5320, 'end_idx': 5389, 'score': 8.86560023930743}, {'start_idx': 5390, 'end_idx': 5459, 'score': 8.514336065184514}, {'start_idx': 5460, 'end_idx': 5516, 'score': 6.653247935516439}]",0,0,1,[],"[(5430, 5766)]",1,"[{'start_idx': 5180, 'end_idx': 5249, 'score': 9.123005724714089}, {'start_idx': 5250, 'end_idx': 5319, 'score': 8.1179965268638}, {'start_idx': 5320, 'end_idx': 5389, 'score': 8.86560023930743}, {'start_idx': 5390, 'end_idx': 5459, 'score': 8.514336065184514}, {'start_idx': 5460, 'end_idx': 5516, 'score': 6.653247935516439}]",SMAP,"[[5394, 5674]]",[point]
2022-11-19_11.24.38,E-8,2620,8272,1,0.06826617211963641,"[{'start_idx': 5460, 'end_idx': 5529, 'score': 2.4587428928719}, {'start_idx': 5530, 'end_idx': 5599, 'score': 2.8969789888442046}, {'start_idx': 5600, 'end_idx': 5669, 'score': 2.694302262948805}]",0,0,1,[],"[(5710, 5919)]",1,"[{'start_idx': 5460, 'end_idx': 5529, 'score': 2.4587428928719}, {'start_idx': 5530, 'end_idx': 5599, 'score': 2.8969789888442046}, {'start_idx': 5600, 'end_idx': 5669, 'score': 2.694302262948805}]",SMAP,"[[5400, 6022]]",[point]
