run_id,chan_id,num_train_values,num_test_values,n_predicted_anoms,normalized_pred_error,anom_scores,anomaly_sequences
2022-11-24_15.24.40,A-1,2620,8380,0,0.09344948486809514,[],[]
2022-11-24_15.24.40,A-2,2388,7654,1,0.10414537558163123,"[{'start_idx': 4270, 'end_idx': 4339, 'score': 2.2110479921271566}]","[(4520, 4589)]"
2022-11-24_15.24.40,A-3,2476,7945,1,0.09097737415893634,"[{'start_idx': 4340, 'end_idx': 4409, 'score': 1.9143213420916094}, {'start_idx': 4410, 'end_idx': 4479, 'score': 2.3605804661558736}, {'start_idx': 4480, 'end_idx': 4549, 'score': 2.7251746493376876}, {'start_idx': 4550, 'end_idx': 4619, 'score': 2.399787522270331}]","[(4590, 4869)]"
2022-11-24_15.24.40,A-4,2430,7820,0,0.13596942672370532,"[{'start_idx': 5950, 'end_idx': 5950, 'score': 1.78156714932546}]",[]
2022-11-24_15.24.40,A-5,445,4433,1,0.44597595508180127,"[{'start_idx': 2450, 'end_idx': 2519, 'score': 0.9759865825853963}, {'start_idx': 2520, 'end_idx': 2589, 'score': 6.137597415322818}, {'start_idx': 2590, 'end_idx': 2659, 'score': 6.828079760592707}, {'start_idx': 2660, 'end_idx': 2729, 'score': 6.874508412231343}, {'start_idx': 2730, 'end_idx': 2799, 'score': 6.824847033706145}]","[(2700, 3049)]"
2022-11-24_15.24.40,A-6,422,4193,1,0.027974273957825205,"[{'start_idx': 1569, 'end_idx': 1860, 'score': 12.623339750360177}]","[(1819, 2110)]"
2022-11-24_15.24.40,A-7,2619,8371,2,0.1044596110644723,"[{'start_idx': 1272, 'end_idx': 1511, 'score': 2.3695810163046067}, {'start_idx': 6020, 'end_idx': 6089, 'score': 1.4042164057202717}, {'start_idx': 6090, 'end_idx': 6159, 'score': 2.124741632571052}, {'start_idx': 6160, 'end_idx': 6229, 'score': 2.458944211591741}, {'start_idx': 6230, 'end_idx': 6299, 'score': 2.589754953699292}, {'start_idx': 6300, 'end_idx': 6369, 'score': 2.8203776874435116}, {'start_idx': 6370, 'end_idx': 6439, 'score': 2.8969434347678273}]","[(1522, 1761), (6270, 6689)]"
2022-11-24_15.24.40,A-8,502,8115,1,0.19102256989134078,"[{'start_idx': 7910, 'end_idx': 7979, 'score': 2.2384876111095027}]","[(8160, 8229)]"
2022-11-24_15.24.40,A-9,502,8174,2,0.3438095397248206,"[{'start_idx': 549, 'end_idx': 1016, 'score': 3.5987698104712553}, {'start_idx': 7980, 'end_idx': 8049, 'score': 0.9638225215601092}]","[(799, 1266), (8230, 8299)]"
2022-11-24_15.24.40,B-1,2175,7784,1,0.5446030158235596,"[{'start_idx': 4760, 'end_idx': 4829, 'score': 0.33964983288826756}, {'start_idx': 4830, 'end_idx': 4899, 'score': 6.781920485896993}, {'start_idx': 4900, 'end_idx': 4969, 'score': 8.109845448441474}, {'start_idx': 4970, 'end_idx': 5039, 'score': 8.180846665102788}, {'start_idx': 5040, 'end_idx': 5109, 'score': 8.013767005946121}, {'start_idx': 5110, 'end_idx': 5179, 'score': 7.797594014818392}]","[(5010, 5429)]"
